# Top practitioners — the people whose first-person accounts clear the source bar.
# Columns: x-handle <TAB> who they are <TAB> what they shipped/operate
#
# HOW TO REACH THEM, cheapest first:
#   1. Their WRITING. Most of these people publish essays; an essay is quotable and an X post
#      often is not. WebSearch "<name> <topic>", or WebFetch their site directly.
#   2. Their TALKS. `bash scripts/yt.sh mine "<topic>"` sweeps the verified channels in
#      references/channels.tsv, several of which are where these people speak. Captions are
#      SUBSTANCE, never quotation (references/public-sources.md).
#   3. Their CODE. Several maintain repos in references/exemplars.tsv — `scripts/exemplar.sh`
#      reads it at a pinned version, which beats any description of what they believe.
#   4. Their POSTS. `WebSearch` constrained to x.com returns real post URLs plus a digest — and the
#      digest is a PARAPHRASE, useless as a quotation. A plain fetch of a post URL will hit an
#      authorization wall; that is the wall, not a bug. NEVER mint a credential or automate a login
#      to get past it (compound-v:agent-security). Where an X read API is configured, it returns
#      full verbatim text; without one, stop at the digest and mark the claim unverified.
#
# THE ROSTER IS ONE CALIBER OF PERSON: founders and CTOs who shipped AND operated the thing,
# founding engineers, AI engineers at frontier labs, and working developers at top-tier companies.
# That is the ONLY qualification. A title at a famous company is not one, and neither is an audience.
#
# NEVER RANK BY FOLLOWER COUNT — measured, twice. The single account behind a canonical
# architectural finding returned ZERO posts clearing a likes filter, while a million-follower
# account returned 75%, nearly all release news. A metric filter drops the best practitioner and
# keeps the noise. Use engagement only to make a broad query tractable, and say when you did.
#
# SEED THE PERSON, NOT THE ORG. Widening a roster with lab/vendor/company accounts pulls in
# vendor-blog posts, funding coverage and event pages — the "marketing dressed as education" class.
# A CTO writing in the first person about what broke is the channel working; the company account
# announcing a partnership is the noise it filters worst, because it carries the most engagement.
#
# EVERY HANDLE BELOW WAS VERIFIED BY READING BACK THE ACCOUNT and matching it to the person named
# in a corpus source. Six candidates were DROPPED rather than guessed, and the reason is instructive:
# `carlini` resolves to a Brazilian account with 367 followers, not the security researcher. A
# guessed handle silently harvests a stranger and every finding downstream inherits it. Re-verify a
# row before quoting it; people rename and delete accounts.
#
addyosmani	Addy Osmani — Director, Google Cloud AI (prev. Chrome DevRel lead)	Chrome tooling/Lighthouse era work; publishes his own measured LLM coding workflow
charlespacker	Charles Packer — co-founder & CEO, Letta (MemGPT)	MemGPT/Letta; Letta Code agents that rewrite their own harness
sarahwooders	Sarah Wooders — co-founder & CTO, Letta	Letta memory/context-hierarchy runtime; Letta Code
peakji	Yichao 'Peak' Ji — co-founder & Chief Scientist, Manus	Manus general agent; production context-engineering (KV-cache, file-as-context)
pirroh	Michele Catasta — President & Head of AI, Replit	Replit Agent; continual-learning-for-agents work
amasad	Amjad Masad — founder & CEO, Replit	Replit and Replit Agent — an agent operated at consumer scale
hwchase17	Harrison Chase — co-founder & CEO, LangChain/LangSmith	LangChain, LangGraph, DeepAgents; LangSmith eval + harness tooling
gregpr07	Gregor Zunic — co-founder, browser-use	browser-use, the most-used open browser-agent library; 'Bitter Lesson of Agent Frameworks'
pk_iv	Paul Klein IV — founder & CEO, Browserbase	Browserbase + Stagehand — headless browser infrastructure agents actually run on
mitchellh	Mitchell Hashimoto — creator of Ghostty; founder of HashiCorp (Vagrant, Terraform, Vault)	Terraform/Vagrant/Vault; Ghostty; publishes measured agent-throughput experience
antirez	Salvatore Sanfilippo — creator of Redis	Redis; currently shipping LLM-facing data structures inside it and testing coding CLIs on real C
cramforce	Malte Ubl — CTO, Vercel	Vercel platform; AMP at Google; private cyber-evals and model-routing in production
rauchg	Guillermo Rauch — founder & CEO, Vercel; creator of Socket.IO and Next.js's home	Next.js/Vercel; v0; the AI-cloud thesis and DESIGN.md-style agent conventions
karrisaarinen	Karri Saarinen — co-founder & CEO, Linear	Linear, including harness/model-choice inside Linear's own agent surface
lethain	Will Larson — CTO (Carta, prev. Calm/Stripe/Uber); author of An Elegant Puzzle	Multiple engineering orgs and platforms; writes strategy from operated systems
HamelHusain	Hamel Husain — applied-LLM consultant; ex-GitHub ML, ex-Airbnb	The eval methodology most AI-engineering teams now use; CodeSearchNet at GitHub
sh_reya	Shreya Shankar — LLM-systems researcher (Berkeley → CMU); creator of DocETL	DocETL; data flywheels and agent action-space partitioning for production LLM pipelines
eugeneyan	Eugene Yan — Principal Applied Scientist, Amazon	Production recsys/LLM systems at Amazon; task-specific eval guidance
jxnlco	Jason Liu — creator of `instructor`; applied-AI/RAG consultant	instructor (structured outputs); systematic RAG-improvement methodology
ankrgyl	Ankur Goyal — founder & CEO, Braintrust; ex-founder Impira, ex-MemSQL eng lead	Braintrust — the eval/observability stack many agent teams run on
chipro	Chip Huyen — author of 'AI Engineering' and 'Designing ML Systems'; ex-founder Claypot AI, ex-NVIDIA	Production ML platforms; the reference text for AI engineering; currently testing agent-skill practice publicly
lateinteraction	Omar Khattab — asst. professor MIT CSAIL; creator of ColBERT, DSPy, GEPA	DSPy and GEPA — programmatic prompt/harness optimization used in production
philipkiely	Philip Kiely — author of 'Inference Engineering'; Baseten (early)	Day-0 model APIs at Baseten; inference-engineering practice
danielhanchen	Daniel Han — co-founder, Unsloth (YC S24); ex-NVIDIA ML	Unsloth; the reference bug-hunts that fix broken open-weight model releases
yoobinray	Raymond Yoo — engineering @ Melius; ex-MLE, Amazon	Realtime LLM inference infra, large-scale migrations, ML system design writeups
simonw	Simon Willison — creator of Datasette and the `llm` CLI; co-creator of Django	Datasette, `llm`, sqlite-utils; the most consistently grounded running log of LLM tool behaviour
swyx	Shawn 'swyx' Wang — Latent Space; smol.ai; Cognition	Coined/organized 'AI Engineer'; runs the AI Engineer conference; ships smol tools
_philschmid	Philipp Schmid — Agents & Gemini API, MTS, Google DeepMind (ex-Hugging Face)	Gemini agent APIs; subagent-pattern and persistent-vs-stateless-bash writeups
karpathy	Andrej Karpathy — ex-Director of AI, Tesla; founding member, OpenAI	nanoGPT, micrograd, llm.c, nanochat; Tesla Autopilot vision stack
rasbt	Sebastian Raschka — author of 'Build a Large Language Model (From Scratch)'; ex-Lightning AI	LLMs-from-scratch; reasoning-model and architecture breakdowns used as reference
